invoice_id,branch,city,customer_type,gender,product_line, unit_price ,quantity,tax_5%, total ,date,time,payment, cogs ,gross_margin_percentage, gross_income ,rating, order_value , month 
299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72,6,28.116,590.44,1/15/2019,4:19 PM,Cash,562.32,4.761904762,28.12,4.5,168.70,January
656-95-9349,A,Yangon,Member,Female,Health and beauty,68.93,7,24.1255,506.64,3/11/2019,11:03 AM,Credit card,482.51,4.761904762,24.13,4.6,168.88,March
765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6,21.783,457.44,1/1/2019,10:39 AM,Credit card,435.66,4.761904762,21.78,6.9,130.70,January
329-62-1586,A,Yangon,Normal,Male,Food and beverages,54.67,3,8.2005,172.21,1/21/2019,6:00 PM,Credit card,164.01,4.761904762,8.20,8.6,24.60,January
319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,40.30,2,4.03,84.63,3/11/2019,3:30 PM,Ewallet,80.60,4.761904762,4.03,4.4,8.06,March
300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories,86.04,5,21.51,451.71,2/25/2019,11:24 AM,Ewallet,430.20,4.761904762,21.51,4.8,107.55,February
371-85-5789,B,Mandalay,Normal,Male,Health and beauty,87.98,3,13.197,277.14,3/5/2019,10:40 AM,Ewallet,263.94,4.761904762,13.20,5.1,39.59,March
273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,33.20,2,3.32,69.72,3/15/2019,12:20 PM,Credit card,66.40,4.761904762,3.32,4.4,6.64,March
636-48-8204,A,Yangon,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,2/17/2019,11:15 AM,Ewallet,172.80,4.761904762,8.64,9.9,43.20,February
549-59-1358,A,Yangon,Member,Male,Sports and travel,88.63,3,13.2945,279.18,3/2/2019,5:36 PM,Ewallet,265.89,4.761904762,13.29,6,39.88,March
227-03-5010,A,Yangon,Member,Female,Home and lifestyle,52.59,8,21.036,441.76,3/22/2019,7:20 PM,Credit card,420.72,4.761904762,21.04,8.5,168.29,March
649-29-6775,B,Mandalay,Normal,Male,Fashion accessories,33.52,1,1.676,35.20,2/8/2019,3:31 PM,Cash,33.52,4.761904762,1.68,6.7,1.68,February
189-17-4241,A,Yangon,Normal,Female,Fashion accessories,87.67,2,8.767,184.11,3/10/2019,12:17 PM,Credit card,175.34,4.761904762,8.77,7.7,17.53,March
145-94-9061,B,Mandalay,Normal,Female,Food and beverages,88.36,5,22.09,463.89,1/25/2019,7:48 PM,Cash,441.80,4.761904762,22.09,9.6,110.45,January
848-62-7243,A,Yangon,Normal,Male,Health and beauty,24.89,9,11.2005,235.21,3/15/2019,3:36 PM,Cash,224.01,4.761904762,11.20,7.4,100.80,March
871-79-8483,B,Mandalay,Normal,Male,Fashion accessories,94.13,5,23.5325,494.18,2/25/2019,7:39 PM,Credit card,470.65,4.761904762,23.53,4.8,117.66,February
149-71-6266,B,Mandalay,Member,Male,Sports and travel,78.07,9,35.1315,737.76,1/28/2019,12:43 PM,Cash,702.63,4.761904762,35.13,4.5,316.18,January
640-49-2076,B,Mandalay,Normal,Male,Sports and travel,83.78,8,33.512,703.75,1/10/2019,2:49 PM,Cash,670.24,4.761904762,33.51,5.1,268.10,January
595-11-5460,A,Yangon,Normal,Male,Health and beauty,96.58,2,9.658,202.82,3/15/2019,10:12 AM,Credit card,193.16,4.761904762,9.66,5.1,19.32,March
183-56-6882,C,Naypyitaw,Member,Female,Food and beverages,99.42,4,19.884,417.56,2/6/2019,10:42 AM,Ewallet,397.68,4.761904762,19.88,7.5,79.54,February
232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,68.12,1,3.406,71.53,1/7/2019,12:28 PM,Ewallet,68.12,4.761904762,3.41,6.8,3.41,January
129-29-8530,A,Yangon,Member,Male,Sports and travel,62.62,5,15.655,328.76,3/10/2019,7:15 PM,Ewallet,313.10,4.761904762,15.66,7,78.28,March
272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60.88,9,27.396,575.32,1/15/2019,5:17 PM,Ewallet,547.92,4.761904762,27.40,4.7,246.56,January
333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty,54.92,8,21.968,461.33,3/23/2019,1:24 PM,Ewallet,439.36,4.761904762,21.97,7.6,175.74,March
777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,30.12,8,12.048,253.01,3/3/2019,1:01 PM,Cash,240.96,4.761904762,12.05,7.7,96.38,March
280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,86.72,1,4.336,91.06,1/17/2019,6:45 PM,Ewallet,86.72,4.761904762,4.34,7.9,4.34,January
554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,5.611,117.83,2/2/2019,10:11 AM,Cash,112.22,4.761904762,5.61,6.3,11.22,February
354-25-5821,B,Mandalay,Member,Female,Sports and travel,69.12,6,20.736,435.46,2/8/2019,1:03 PM,Cash,414.72,4.761904762,20.74,5.6,124.42,February
228-96-1411,C,Naypyitaw,Member,Female,Food and beverages,98.70,8,39.48,829.08,3/4/2019,8:39 PM,Cash,789.60,4.761904762,39.48,7.6,315.84,March
617-15-4209,C,Naypyitaw,Member,Male,Health and beauty,15.37,2,1.537,32.28,3/16/2019,7:47 PM,Cash,30.74,4.761904762,1.54,7.2,3.07,March
132-32-9879,B,Mandalay,Member,Female,Electronic accessories,93.96,4,18.792,394.63,3/9/2019,6:00 PM,Cash,375.84,4.761904762,18.79,9.5,75.17,March
370-41-7321,B,Mandalay,Member,Male,Health and beauty,56.69,9,25.5105,535.72,2/27/2019,5:24 PM,Credit card,510.21,4.761904762,25.51,8.4,229.59,February
727-46-3608,B,Mandalay,Member,Female,Food and beverages,20.01,9,9.0045,189.09,2/6/2019,3:47 PM,Ewallet,180.09,4.761904762,9.00,4.1,81.04,February
669-54-1719,B,Mandalay,Member,Male,Electronic accessories,18.93,6,5.679,119.26,2/10/2019,12:45 PM,Credit card,113.58,4.761904762,5.68,8.1,34.07,February
574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories,82.63,10,41.315,867.62,3/19/2019,5:08 PM,Ewallet,826.30,4.761904762,41.32,7.9,413.15,March
326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,91.40,7,31.99,671.79,2/3/2019,10:19 AM,Cash,639.80,4.761904762,31.99,9.5,223.93,February
162-48-8011,A,Yangon,Member,Female,Food and beverages,44.59,5,11.1475,234.10,2/10/2019,3:10 PM,Cash,222.95,4.761904762,11.15,8.5,55.74,February
616-24-2851,B,Mandalay,Member,Female,Fashion accessories,17.87,4,3.574,75.05,3/22/2019,2:42 PM,Ewallet,71.48,4.761904762,3.57,6.5,14.30,March
778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories,15.43,1,0.7715,16.20,1/25/2019,3:46 PM,Credit card,15.43,4.761904762,0.77,6.1,0.77,January
242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle,16.16,2,1.616,33.94,3/7/2019,11:49 AM,Ewallet,32.32,4.761904762,1.62,6.5,3.23,March
399-46-5918,C,Naypyitaw,Normal,Female,Electronic accessories,85.98,8,34.392,722.23,2/28/2019,7:01 PM,Cash,687.84,4.761904762,34.39,8.2,275.14,February
106-35-6779,A,Yangon,Member,Male,Home and lifestyle,44.34,2,4.434,93.11,3/27/2019,11:26 AM,Cash,88.68,4.761904762,4.43,5.8,8.87,March
635-40-6220,A,Yangon,Normal,Male,Health and beauty,89.60,8,35.84,752.64,2/7/2019,11:28 AM,Ewallet,716.80,4.761904762,35.84,6.6,286.72,February
817-48-8732,A,Yangon,Member,Female,Home and lifestyle,72.35,10,36.175,759.68,1/20/2019,3:55 PM,Cash,723.50,4.761904762,36.18,5.4,361.75,January
120-06-4233,C,Naypyitaw,Normal,Male,Electronic accessories,30.61,6,9.183,192.84,3/12/2019,8:36 PM,Cash,183.66,4.761904762,9.18,9.3,55.10,March
285-68-5083,C,Naypyitaw,Member,Female,Sports and travel,24.74,3,3.711,77.93,2/15/2019,5:47 PM,Credit card,74.22,4.761904762,3.71,10,11.13,February
803-83-5989,C,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6,16.719,351.10,2/24/2019,10:55 AM,Ewallet,334.38,4.761904762,16.72,7,100.31,February
347-34-2234,B,Mandalay,Member,Female,Sports and travel,55.07,9,24.7815,520.41,2/3/2019,1:40 PM,Ewallet,495.63,4.761904762,24.78,10,223.03,February
199-75-8169,A,Yangon,Member,Male,Sports and travel,15.81,10,7.905,166.01,3/6/2019,12:27 PM,Credit card,158.10,4.761904762,7.91,8.6,79.05,March
853-23-2453,B,Mandalay,Member,Male,Health and beauty,75.74,4,15.148,318.11,2/14/2019,2:35 PM,Cash,302.96,4.761904762,15.15,7.6,60.59,February
877-22-3308,A,Yangon,Member,Male,Health and beauty,15.87,10,7.935,166.64,3/13/2019,4:40 PM,Cash,158.70,4.761904762,7.94,5.8,79.35,March
838-78-4295,C,Naypyitaw,Normal,Female,Health and beauty,33.47,2,3.347,70.29,2/10/2019,3:43 PM,Ewallet,66.94,4.761904762,3.35,6.7,6.69,February
109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97.61,6,29.283,614.94,1/7/2019,3:01 PM,Ewallet,585.66,4.761904762,29.28,9.9,175.70,January
232-11-3025,A,Yangon,Normal,Male,Sports and travel,78.77,10,39.385,827.09,1/24/2019,10:04 AM,Cash,787.70,4.761904762,39.39,6.4,393.85,January
382-03-4532,A,Yangon,Member,Female,Health and beauty,18.33,1,0.9165,19.25,2/2/2019,6:50 PM,Cash,18.33,4.761904762,0.92,4.3,0.92,February
393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,89.48,10,44.74,939.54,1/6/2019,12:46 PM,Credit card,894.80,4.761904762,44.74,9.6,447.40,January
796-12-2025,C,Naypyitaw,Normal,Male,Fashion accessories,62.12,10,31.06,652.26,2/11/2019,4:19 PM,Cash,621.20,4.761904762,31.06,5.9,310.60,February
510-95-6347,B,Mandalay,Member,Female,Food and beverages,48.52,3,7.278,152.84,3/5/2019,6:17 PM,Ewallet,145.56,4.761904762,7.28,4,21.83,March
841-35-6630,C,Naypyitaw,Normal,Female,Electronic accessories,75.91,6,22.773,478.23,3/9/2019,6:21 PM,Cash,455.46,4.761904762,22.77,8.7,136.64,March
287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,74.67,9,33.6015,705.63,1/22/2019,10:55 AM,Ewallet,672.03,4.761904762,33.60,9.4,302.41,January
732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,20.825,437.33,1/13/2019,5:04 PM,Credit card,416.50,4.761904762,20.83,5.4,208.25,January
263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,49.04,9,22.068,463.43,1/9/2019,2:20 PM,Credit card,441.36,4.761904762,22.07,8.6,198.61,January
381-20-0914,A,Yangon,Member,Female,Fashion accessories,20.01,9,9.0045,189.09,1/12/2019,3:48 PM,Credit card,180.09,4.761904762,9.00,5.7,81.04,January
829-49-1914,C,Naypyitaw,Member,Female,Food and beverages,78.31,10,39.155,822.26,3/5/2019,4:24 PM,Ewallet,783.10,4.761904762,39.16,6.6,391.55,March
756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty,20.38,5,5.095,107.00,1/22/2019,6:56 PM,Cash,101.90,4.761904762,5.10,6,25.48,January
870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty,99.19,6,29.757,624.90,1/21/2019,2:42 PM,Credit card,595.14,4.761904762,29.76,5.5,178.54,January
847-38-7188,B,Mandalay,Normal,Female,Food and beverages,96.68,3,14.502,304.54,1/26/2019,7:56 PM,Ewallet,290.04,4.761904762,14.50,6.4,43.51,January
480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages,19.25,8,7.7,161.70,1/23/2019,6:37 PM,Ewallet,154.00,4.761904762,7.70,6.6,61.60,January
787-56-0757,C,Naypyitaw,Member,Female,Food and beverages,80.36,4,16.072,337.51,2/23/2019,6:45 PM,Credit card,321.44,4.761904762,16.07,8.3,64.29,February
360-39-5055,C,Naypyitaw,Member,Male,Sports and travel,48.91,5,12.2275,256.78,3/9/2019,10:17 AM,Cash,244.55,4.761904762,12.23,6.6,61.14,March
730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel,83.06,7,29.071,610.49,3/5/2019,2:31 PM,Ewallet,581.42,4.761904762,29.07,4,203.50,March
362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,19.13,401.73,3/25/2019,10:23 AM,Cash,382.60,4.761904762,19.13,9.9,95.65,March
633-44-8566,A,Yangon,Member,Male,Food and beverages,49.38,7,17.283,362.94,3/27/2019,8:35 PM,Credit card,345.66,4.761904762,17.28,7.3,120.98,March
504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47,1,2.1235,44.59,1/2/2019,4:57 PM,Cash,42.47,4.761904762,2.12,5.7,2.12,January
318-68-5053,B,Mandalay,Normal,Female,Health and beauty,76.99,6,23.097,485.04,2/27/2019,5:55 PM,Cash,461.94,4.761904762,23.10,6.1,138.58,February
565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,9.476,199.00,1/23/2019,10:25 AM,Cash,189.52,4.761904762,9.48,7.1,37.90,January
225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,44.86,10,22.43,471.03,1/26/2019,7:54 PM,Ewallet,448.60,4.761904762,22.43,8.2,224.30,January
873-51-0671,A,Yangon,Member,Female,Sports and travel,21.98,7,7.693,161.55,1/10/2019,4:42 PM,Ewallet,153.86,4.761904762,7.69,5.1,53.85,January
152-08-9985,B,Mandalay,Member,Male,Health and beauty,64.36,9,28.962,608.20,3/12/2019,12:09 PM,Credit card,579.24,4.761904762,28.96,8.6,260.66,March
512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty,89.75,1,4.4875,94.24,2/6/2019,8:05 PM,Credit card,89.75,4.761904762,4.49,6.6,4.49,February
594-34-4444,A,Yangon,Normal,Male,Electronic accessories,97.16,1,4.858,102.02,3/8/2019,8:38 PM,Ewallet,97.16,4.761904762,4.86,7.2,4.86,March
766-85-7061,B,Mandalay,Normal,Male,Health and beauty,87.87,10,43.935,922.64,3/29/2019,10:25 AM,Ewallet,878.70,4.761904762,43.94,5.1,439.35,March
871-39-9221,C,Naypyitaw,Normal,Female,Electronic accessories,12.45,6,3.735,78.44,2/9/2019,1:11 PM,Cash,74.70,4.761904762,3.74,4.1,22.41,February
865-92-6136,A,Yangon,Normal,Male,Food and beverages,52.75,3,7.9125,166.16,3/23/2019,10:16 AM,Ewallet,158.25,4.761904762,7.91,9.3,23.74,March
733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle,82.70,6,24.81,521.01,3/5/2019,6:14 PM,Cash,496.20,4.761904762,24.81,7.4,148.86,March
163-56-7055,C,Naypyitaw,Member,Male,Fashion accessories,48.71,1,2.4355,51.15,3/26/2019,7:20 PM,Cash,48.71,4.761904762,2.44,4.1,2.44,March
189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,35.3475,742.30,3/1/2019,1:22 PM,Cash,706.95,4.761904762,35.35,7.2,318.13,March
551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,10.3815,218.01,2/1/2019,11:27 AM,Cash,207.63,4.761904762,10.38,4.9,93.43,February
212-62-1842,A,Yangon,Normal,Male,Food and beverages,58.26,6,17.478,367.04,3/28/2019,4:44 PM,Cash,349.56,4.761904762,17.48,9.9,104.87,March
716-39-1409,B,Mandalay,Normal,Male,Health and beauty,30.35,7,10.6225,223.07,3/19/2019,6:19 PM,Cash,212.45,4.761904762,10.62,8,74.36,March
704-48-3927,A,Yangon,Member,Male,Electronic accessories,88.67,10,44.335,931.04,1/12/2019,2:50 PM,Ewallet,886.70,4.761904762,44.34,7.3,443.35,January
628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,8.214,172.49,1/5/2019,8:54 PM,Credit card,164.28,4.761904762,8.21,7.9,49.28,January
630-74-5166,A,Yangon,Normal,Male,Sports and travel,62.13,6,18.639,391.42,3/22/2019,8:19 PM,Cash,372.78,4.761904762,18.64,7.4,111.83,March
588-01-7461,C,Naypyitaw,Normal,Female,Food and beverages,33.98,9,15.291,321.11,3/24/2019,10:43 AM,Cash,305.82,4.761904762,15.29,4.2,137.62,March
861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories,81.97,10,40.985,860.69,3/3/2019,2:30 PM,Cash,819.70,4.761904762,40.99,9.2,409.85,March
479-26-8945,B,Mandalay,Member,Female,Sports and travel,16.49,2,1.649,34.63,2/5/2019,11:32 AM,Ewallet,32.98,4.761904762,1.65,4.6,3.30,February
210-67-5886,C,Naypyitaw,Member,Female,Health and beauty,98.21,3,14.7315,309.36,2/5/2019,10:41 AM,Credit card,294.63,4.761904762,14.73,7.8,44.19,February
227-78-1148,B,Mandalay,Normal,Female,Fashion accessories,72.84,7,25.494,535.37,2/15/2019,12:44 PM,Cash,509.88,4.761904762,25.49,8.4,178.46,February
645-44-1170,A,Yangon,Member,Male,Home and lifestyle,58.07,9,26.1315,548.76,1/19/2019,8:07 PM,Ewallet,522.63,4.761904762,26.13,4.3,235.18,January
237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,36.3555,763.47,2/1/2019,8:31 PM,Credit card,727.11,4.761904762,36.36,9.5,327.20,February
225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories,27.02,3,4.053,85.11,3/2/2019,1:01 PM,Credit card,81.06,4.761904762,4.05,7.1,12.16,March
291-32-1427,B,Mandalay,Member,Male,Fashion accessories,21.94,5,5.485,115.19,3/5/2019,12:29 PM,Ewallet,109.70,4.761904762,5.49,5.3,27.43,March
659-65-8956,B,Mandalay,Member,Male,Fashion accessories,51.36,1,2.568,53.93,1/16/2019,3:26 PM,Ewallet,51.36,4.761904762,2.57,5.2,2.57,January
642-32-2990,A,Yangon,Normal,Female,Food and beverages,10.96,10,5.48,115.08,2/2/2019,8:48 PM,Ewallet,109.60,4.761904762,5.48,6,54.80,February
378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle,53.44,2,5.344,112.22,1/20/2019,8:38 PM,Ewallet,106.88,4.761904762,5.34,4.1,10.69,January
638-60-7125,A,Yangon,Normal,Female,Electronic accessories,99.56,8,39.824,836.30,2/14/2019,5:03 PM,Credit card,796.48,4.761904762,39.82,5.2,318.59,February
659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,57.12,7,19.992,419.83,1/12/2019,12:02 PM,Credit card,399.84,4.761904762,19.99,6.5,139.94,January
219-22-9386,B,Mandalay,Member,Male,Sports and travel,99.96,9,44.982,944.62,3/9/2019,5:26 PM,Credit card,899.64,4.761904762,44.98,4.2,404.84,March
336-78-2147,C,Naypyitaw,Member,Male,Home and lifestyle,63.91,8,25.564,536.84,3/13/2019,7:52 PM,Credit card,511.28,4.761904762,25.56,4.6,204.51,March
268-27-6179,B,Mandalay,Member,Female,Fashion accessories,56.47,8,22.588,474.35,3/9/2019,2:57 PM,Ewallet,451.76,4.761904762,22.59,7.3,180.70,March
668-90-8900,A,Yangon,Normal,Female,Home and lifestyle,93.69,7,32.7915,688.62,3/10/2019,6:44 PM,Credit card,655.83,4.761904762,32.79,4.5,229.54,March
870-54-3162,A,Yangon,Normal,Female,Sports and travel,32.25,5,8.0625,169.31,1/27/2019,1:26 PM,Cash,161.25,4.761904762,8.06,9,40.31,January
189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,31.73,9,14.2785,299.85,1/8/2019,4:17 PM,Credit card,285.57,4.761904762,14.28,5.9,128.51,January
663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,68.54,8,27.416,575.74,1/8/2019,3:57 PM,Ewallet,548.32,4.761904762,27.42,8.5,219.33,January
549-84-7482,B,Mandalay,Normal,Female,Sports and travel,90.28,9,40.626,853.15,2/8/2019,11:15 AM,Ewallet,812.52,4.761904762,40.63,7.2,365.63,February
191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,39.62,7,13.867,291.21,1/25/2019,1:18 PM,Cash,277.34,4.761904762,13.87,7.5,97.07,January
802-70-5316,A,Yangon,Member,Female,Sports and travel,92.13,6,27.639,580.42,3/6/2019,8:34 PM,Cash,552.78,4.761904762,27.64,8.3,165.83,March
695-51-0018,B,Mandalay,Normal,Female,Sports and travel,34.84,4,6.968,146.33,2/10/2019,6:36 PM,Cash,139.36,4.761904762,6.97,7.4,27.87,February
590-83-4591,B,Mandalay,Member,Male,Electronic accessories,87.45,6,26.235,550.94,2/17/2019,2:40 PM,Credit card,524.70,4.761904762,26.24,8.8,157.41,February
483-71-1164,C,Naypyitaw,Normal,Female,Health and beauty,81.30,6,24.39,512.19,3/8/2019,4:43 PM,Ewallet,487.80,4.761904762,24.39,5.3,146.34,March
597-78-7908,C,Naypyitaw,Normal,Male,Fashion accessories,90.22,3,13.533,284.19,2/18/2019,7:39 PM,Cash,270.66,4.761904762,13.53,6.2,40.60,February
700-81-1757,A,Yangon,Normal,Female,Electronic accessories,26.31,5,6.5775,138.13,1/18/2019,8:59 PM,Credit card,131.55,4.761904762,6.58,8.8,32.89,January
354-39-5160,A,Yangon,Member,Female,Home and lifestyle,34.42,6,10.326,216.85,2/18/2019,3:39 PM,Cash,206.52,4.761904762,10.33,9.8,61.96,February
241-72-9525,B,Mandalay,Normal,Male,Sports and travel,51.91,10,25.955,545.06,2/16/2019,12:21 PM,Cash,519.10,4.761904762,25.96,8.2,259.55,February
575-30-8091,A,Yangon,Normal,Male,Sports and travel,72.50,8,29,609.00,3/16/2019,7:25 PM,Ewallet,580.00,4.761904762,29.00,9.2,232.00,March
731-81-9469,C,Naypyitaw,Member,Female,Sports and travel,89.80,10,44.9,942.90,1/23/2019,1:00 PM,Credit card,898.00,4.761904762,44.90,5.4,449.00,January
280-17-4359,C,Naypyitaw,Member,Male,Health and beauty,90.50,10,45.25,950.25,1/25/2019,1:48 PM,Cash,905.00,4.761904762,45.25,8.1,452.50,January
338-65-2210,C,Naypyitaw,Member,Female,Health and beauty,68.60,10,34.3,720.30,2/5/2019,7:57 PM,Cash,686.00,4.761904762,34.30,9.1,343.00,February
488-25-4221,C,Naypyitaw,Member,Female,Food and beverages,30.41,1,1.5205,31.93,2/22/2019,10:36 AM,Credit card,30.41,4.761904762,1.52,8.4,1.52,February
239-10-7476,A,Yangon,Normal,Female,Home and lifestyle,77.95,6,23.385,491.09,1/21/2019,4:37 PM,Ewallet,467.70,4.761904762,23.39,8,140.31,January
458-41-1477,C,Naypyitaw,Normal,Female,Health and beauty,46.26,6,13.878,291.44,3/8/2019,5:11 PM,Credit card,277.56,4.761904762,13.88,9.5,83.27,March
685-64-1609,A,Yangon,Member,Female,Fashion accessories,30.14,10,15.07,316.47,2/10/2019,12:28 PM,Ewallet,301.40,4.761904762,15.07,9.2,150.70,February
568-90-5112,C,Naypyitaw,Normal,Male,Health and beauty,66.14,4,13.228,277.79,3/19/2019,12:46 PM,Credit card,264.56,4.761904762,13.23,5.6,52.91,March
262-47-2794,B,Mandalay,Member,Male,Home and lifestyle,71.86,8,28.744,603.62,3/6/2019,3:07 PM,Credit card,574.88,4.761904762,28.74,6.2,229.95,March
238-49-0436,A,Yangon,Normal,Male,Health and beauty,32.46,8,12.984,272.66,3/27/2019,1:48 PM,Credit card,259.68,4.761904762,12.98,4.9,103.87,March
608-96-3517,B,Mandalay,Member,Female,Fashion accessories,91.54,4,18.308,384.47,3/23/2019,7:20 PM,Credit card,366.16,4.761904762,18.31,4.8,73.23,March
584-86-7256,C,Naypyitaw,Member,Male,Sports and travel,34.56,7,12.096,254.02,3/11/2019,4:07 PM,Credit card,241.92,4.761904762,12.10,7.3,84.67,March
746-94-0204,A,Yangon,Normal,Male,Fashion accessories,83.24,9,37.458,786.62,1/29/2019,11:56 AM,Credit card,749.16,4.761904762,37.46,7.4,337.12,January
214-17-6927,C,Naypyitaw,Normal,Female,Food and beverages,16.48,6,4.944,103.82,2/7/2019,6:23 PM,Ewallet,98.88,4.761904762,4.94,9.9,29.66,February
400-89-4171,C,Naypyitaw,Normal,Female,Sports and travel,80.97,8,32.388,680.15,1/28/2019,1:05 PM,Cash,647.76,4.761904762,32.39,9.3,259.10,January
782-95-9291,A,Yangon,Member,Male,Food and beverages,92.29,5,23.0725,484.52,2/20/2019,3:55 PM,Credit card,461.45,4.761904762,23.07,9,115.36,February
279-74-2924,B,Mandalay,Member,Male,Electronic accessories,72.17,1,3.6085,75.78,1/4/2019,7:40 PM,Cash,72.17,4.761904762,3.61,6.1,3.61,January
307-85-2293,B,Mandalay,Normal,Male,Home and lifestyle,50.28,5,12.57,263.97,3/7/2019,1:58 PM,Ewallet,251.40,4.761904762,12.57,9.7,62.85,March
743-04-1105,B,Mandalay,Member,Male,Health and beauty,97.22,9,43.749,918.73,3/30/2019,2:43 PM,Ewallet,874.98,4.761904762,43.75,6,393.74,March
